train_loss,val_loss,train_task,val_task,train_symbolic,val_symbolic,penalty_rate,vram_gb,val_mae,val_mape,learning_rate
483468.46875,178662.578125,483468.375,178662.484375,10.0,10.0,1.0,0.812660224,392.01038,98.70151877403259,0.0001
483086.65625,178382.75,483086.5625,178382.65625,10.0,10.0,1.0,0.868894208,391.501,98.29803109169006,0.0001
482810.75,178163.90625,482810.65625,178163.8125,10.0,10.0,1.0,0.868894208,391.10242,97.97780513763428,0.0001
482588.1875,177989.203125,482588.09375,177989.109375,10.0,10.0,1.0,0.868894208,390.7833,97.72079586982727,0.0001
482367.78125,177841.671875,482367.6875,177841.578125,10.0,10.0,1.0,0.868894208,390.51187,97.50276207923889,0.0001
482304.5625,177720.640625,482304.46875,177720.546875,10.0,10.0,1.0,0.868894208,390.29077,97.32957482337952,0.0001
482109.5625,177614.796875,482109.46875,177614.703125,10.0,10.0,1.0,0.868894208,390.09622,97.1735417842865,0.0001
481929.4375,177521.609375,481929.34375,177521.515625,10.0,10.0,1.0,0.868894208,389.92557,97.03872799873352,0.0001
482032.59375,177437.953125,482032.5,177437.859375,10.0,10.0,1.0,0.868894208,389.7722,96.91616892814636,0.0001
481777.0,177365.84375,481776.0,177364.84375,10.0,10.0,1.0,0.868894208,389.63904,96.81087136268616,0.0001
481705.78125,177301.234375,481704.78125,177300.234375,10.0,10.0,1.0,0.868894208,389.52048,96.71695828437805,0.0001
481701.78125,177243.890625,481700.78125,177242.890625,10.0,10.0,1.0,0.868894208,389.41507,96.63288593292236,0.0001
481571.25,177188.1875,481570.25,177187.1875,10.0,10.0,1.0,0.868894208,389.3131,96.55277132987976,0.0001
481526.28125,177135.46875,481525.28125,177134.46875,10.0,10.0,1.0,0.868894208,389.2162,96.47497534751892,0.0001
481489.90625,177085.984375,481488.90625,177084.984375,10.0,10.0,1.0,0.868894208,389.125,96.4024305343628,0.0001
481450.875,177042.453125,481449.875,177041.453125,10.0,10.0,1.0,0.868894208,389.04514,96.33929133415222,0.0001
481349.78125,177001.015625,481348.78125,177000.015625,10.0,10.0,1.0,0.868894208,388.96875,96.27816677093506,0.0001
481278.71875,176961.734375,481277.71875,176960.734375,10.0,10.0,1.0,0.868894208,388.89658,96.22085690498352,0.0001
481246.65625,176923.375,481245.65625,176922.375,10.0,10.0,1.0,0.868894208,388.82617,96.16500735282898,0.0001
481153.0,176886.0,481152.0,176885.0,10.0,10.0,1.0,0.868894208,388.7576,96.11086249351501,0.0001
481165.25,176850.609375,481164.25,176849.609375,10.0,10.0,1.0,0.868894208,388.69284,96.0599422454834,0.0001
481129.84375,176816.796875,481128.84375,176815.796875,10.0,10.0,1.0,0.868894208,388.63083,96.01144790649414,0.0001
481151.25,176780.125,481150.25,176779.125,10.0,10.0,1.0,0.868894208,388.56345,95.95775604248047,0.0001
481071.9375,176741.765625,481070.9375,176740.765625,10.0,10.0,1.0,0.868894208,388.4929,95.90182900428772,0.0001
481004.28125,176704.09375,481003.28125,176703.09375,10.0,10.0,1.0,0.868894208,388.42346,95.8463728427887,0.0001
480977.4375,176665.734375,480976.4375,176664.734375,10.0,10.0,1.0,0.868894208,388.35278,95.79017758369446,0.0001
480893.03125,176628.03125,480892.03125,176627.03125,10.0,10.0,1.0,0.868894208,388.28348,95.73513865470886,0.0001
480881.40625,176592.6875,480880.40625,176591.6875,10.0,10.0,1.0,0.868894208,388.21835,95.6835687160492,0.0001
480797.53125,176557.75,480796.53125,176556.75,10.0,10.0,1.0,0.868894208,388.15408,95.63260078430176,0.0001
480858.46875,176522.515625,480857.46875,176521.515625,10.0,10.0,1.0,0.868894208,388.08923,95.58115601539612,0.0001
480723.6875,176486.484375,480722.6875,176485.484375,10.0,10.0,1.0,0.868894208,388.02283,95.52813172340393,0.0001
480942.4375,176451.171875,480941.4375,176450.171875,10.0,10.0,1.0,0.868894208,387.95755,95.47603726387024,0.0001
480868.625,176416.828125,480867.625,176415.828125,10.0,10.0,1.0,0.868894208,387.8944,95.42617797851562,0.0001
480784.53125,176382.921875,480783.53125,176381.921875,10.0,10.0,1.0,0.868894208,387.832,95.37694454193115,0.0001
480606.34375,176349.171875,480605.34375,176348.171875,10.0,10.0,1.0,0.868894208,387.7698,95.3275203704834,0.0001
480685.78125,176315.40625,480684.78125,176314.40625,10.0,10.0,1.0,0.868894208,387.70764,95.27820944786072,0.0001
480487.6875,176281.734375,480486.6875,176280.734375,10.0,10.0,1.0,0.868894208,387.6456,95.22898197174072,0.0001
480552.0,176247.78125,480551.0,176246.78125,10.0,10.0,1.0,0.868894208,387.58298,95.17922401428223,0.0001
480484.4375,176214.6875,480483.4375,176213.6875,10.0,10.0,1.0,0.868894208,387.52194,95.13079524040222,0.0001
480467.21875,176180.90625,480466.21875,176179.90625,10.0,10.0,1.0,0.868894208,387.4596,95.08139491081238,0.0001
480378.625,176146.5625,480377.625,176145.5625,10.0,10.0,1.0,0.868894208,387.39645,95.03135681152344,0.0001
480348.53125,176113.34375,480347.53125,176112.34375,10.0,10.0,1.0,0.868894208,387.3351,94.98279094696045,0.0001
480386.625,176079.65625,480385.625,176078.65625,10.0,10.0,1.0,0.868894208,387.27298,94.93353962898254,0.0001
480259.09375,176045.71875,480258.09375,176044.71875,10.0,10.0,1.0,0.868894208,387.21045,94.88399624824524,0.0001
480251.1875,176011.703125,480250.1875,176010.703125,10.0,10.0,1.0,0.868894208,387.14755,94.83392834663391,0.0001
480242.0625,175977.34375,480241.0625,175976.34375,10.0,10.0,1.0,0.868894208,387.0841,94.78356838226318,0.0001
480108.6875,175942.890625,480107.6875,175941.890625,10.0,10.0,1.0,0.868894208,387.02054,94.73314881324768,0.0001
480196.875,175907.453125,480195.875,175906.453125,10.0,10.0,1.0,0.868894208,386.95523,94.68150734901428,0.0001
480065.1875,175871.78125,480064.1875,175870.78125,10.0,10.0,1.0,0.868894208,386.88937,94.62924599647522,0.0001
480107.34375,175840.203125,480102.34375,175835.203125,10.0,10.0,1.0,0.868894208,386.82358,94.57704424858093,0.0001
480211.0,175804.3125,480206.0,175799.3125,10.0,10.0,1.0,0.868894208,386.7573,94.52457427978516,0.0001
479920.0625,175767.421875,479915.0625,175762.421875,10.0,10.0,1.0,0.868894208,386.68918,94.47045922279358,0.0001
479991.71875,175730.109375,479986.71875,175725.109375,10.0,10.0,1.0,0.868894208,386.6202,94.41561102867126,0.0001
479914.75,175693.828125,479909.75,175688.828125,10.0,10.0,1.0,0.868894208,386.5531,94.36250329017639,0.0001
479851.15625,175657.515625,479846.15625,175652.515625,10.0,10.0,1.0,0.868894208,386.4861,94.30957436561584,0.0001
479938.5,175621.71875,479933.5,175616.71875,10.0,10.0,1.0,0.868894208,386.41995,94.25721168518066,0.0001
479737.03125,175585.640625,479732.03125,175580.640625,10.0,10.0,1.0,0.868894208,386.35327,94.20444369316101,0.0001
479802.3125,175549.328125,479797.3125,175544.328125,10.0,10.0,1.0,0.868894208,386.2861,94.15113925933838,0.0001
479645.875,175513.0,479640.875,175508.0,10.0,10.0,1.0,0.868894208,386.2189,94.09780502319336,0.0001
479596.90625,175476.96875,479591.90625,175471.96875,10.0,10.0,1.0,0.868894208,386.1523,94.04504299163818,0.0001
479859.3125,175441.1875,479854.3125,175436.1875,10.0,10.0,1.0,0.868894208,386.08603,93.99241805076599,0.0001
479590.40625,175405.28125,479585.40625,175400.28125,10.0,10.0,1.0,0.868894208,386.01956,93.93975138664246,0.0001
479790.375,175369.203125,479785.375,175364.203125,10.0,10.0,1.0,0.868894208,385.95285,93.88683438301086,0.0001
479527.78125,175333.078125,479522.78125,175328.078125,10.0,10.0,1.0,0.868894208,385.8859,93.83377432823181,0.0001
479511.0625,175296.84375,479506.0625,175291.84375,10.0,10.0,1.0,0.868894208,385.81885,93.78063082695007,0.0001
479498.4375,175260.40625,479493.4375,175255.40625,10.0,10.0,1.0,0.868894208,385.75143,93.72720718383789,0.0001
479647.78125,175223.828125,479642.78125,175218.828125,10.0,10.0,1.0,0.868894208,385.6838,93.6737596988678,0.0001
479196.28125,175187.234375,479191.28125,175182.234375,10.0,10.0,1.0,0.868894208,385.61606,93.62015724182129,0.0001
479303.1875,175150.328125,479298.1875,175145.328125,10.0,10.0,1.0,0.868894208,385.5477,93.5659408569336,0.0001
479277.625,175113.671875,479272.625,175108.671875,10.0,10.0,1.0,0.868894208,385.4797,93.51193904876709,0.0001
479240.875,175076.421875,479235.875,175071.421875,10.0,10.0,1.0,0.868894208,385.4106,93.45707297325134,0.0001
479433.59375,175039.234375,479428.59375,175034.234375,10.0,10.0,1.0,0.868894208,385.34164,93.40248107910156,0.0001
479206.21875,175001.9375,479201.21875,174996.9375,10.0,10.0,1.0,0.868894208,385.27255,93.34771037101746,0.0001
479144.75,174964.640625,479139.75,174959.640625,10.0,10.0,1.0,0.868894208,385.20337,93.29288005828857,0.0001
479187.9375,174927.203125,479182.9375,174922.203125,10.0,10.0,1.0,0.868894208,385.134,93.23787689208984,0.0001
479167.59375,174889.6875,479162.59375,174884.6875,10.0,10.0,1.0,0.868894208,385.06436,93.18268895149231,0.0001
479139.46875,174852.109375,479134.46875,174847.109375,10.0,10.0,1.0,0.868894208,384.9946,93.12739968299866,0.0001
478996.125,174814.375,478991.125,174809.375,10.0,10.0,1.0,0.868894208,384.92468,93.07196736335754,0.0001
479032.96875,174776.59375,479027.96875,174771.59375,10.0,10.0,1.0,0.868894208,384.8545,93.0163323879242,0.0001
479024.625,174738.765625,479019.625,174733.765625,10.0,10.0,1.0,0.868894208,384.78427,92.96068549156189,0.0001
479108.84375,174700.90625,479103.84375,174695.90625,10.0,10.0,1.0,0.868894208,384.71402,92.90496706962585,0.0001
478773.1875,174662.953125,478768.1875,174657.953125,10.0,10.0,1.0,0.868894208,384.64352,92.84908771514893,0.0001
478778.25,174624.9375,478773.25,174619.9375,10.0,10.0,1.0,0.868894208,384.57288,92.7931010723114,0.0001
478769.6875,174586.75,478764.6875,174581.75,10.0,10.0,1.0,0.868894208,384.50195,92.73688197135925,0.0001
478794.375,174548.46875,478789.375,174543.46875,10.0,10.0,1.0,0.868894208,384.43088,92.68050193786621,0.0001
478711.15625,174510.078125,478706.15625,174505.078125,10.0,10.0,1.0,0.868894208,384.35953,92.62394905090332,0.0001
478632.5625,174471.546875,478627.5625,174466.546875,10.0,10.0,1.0,0.868894208,384.28787,92.56712794303894,0.0001
478454.46875,174432.875,478449.46875,174427.875,10.0,10.0,1.0,0.868894208,384.21594,92.51012206077576,0.0001
478491.96875,174393.984375,478486.96875,174388.984375,10.0,10.0,1.0,0.868894208,384.1437,92.45285987854004,0.0001
478447.875,174355.0625,478442.875,174350.0625,10.0,10.0,1.0,0.868894208,384.07126,92.39543080329895,0.0001
478603.75,174316.0,478598.75,174311.0,10.0,10.0,1.0,0.868894208,383.99863,92.33782291412354,0.0001
478420.0,174276.8125,478415.0,174271.8125,10.0,10.0,1.0,0.868894208,383.9257,92.28004813194275,0.0001
478389.53125,174237.5625,478384.53125,174232.5625,10.0,10.0,1.0,0.868894208,383.85266,92.22210049629211,0.0001
478255.84375,174198.203125,478250.84375,174193.203125,10.0,10.0,1.0,0.868894208,383.77942,92.16408729553223,0.0001
478301.46875,174158.625,478296.46875,174153.625,10.0,10.0,1.0,0.868894208,383.7058,92.10572838783264,0.0001
478279.4375,174118.796875,478274.4375,174113.796875,10.0,10.0,1.0,0.868894208,383.63162,92.0469343662262,0.0001
478178.59375,174078.8125,478173.59375,174073.8125,10.0,10.0,1.0,0.868894208,383.55716,91.9879138469696,0.0001
478206.84375,174038.640625,478201.84375,174033.640625,10.0,10.0,1.0,0.868894208,383.4823,91.92861914634705,0.0001
477993.46875,173998.25,477988.46875,173993.25,10.0,10.0,1.0,0.868894208,383.4071,91.8690025806427,0.0001
477934.9375,173957.78125,477929.9375,173952.78125,10.0,10.0,1.0,0.868894208,383.3317,91.80922508239746,0.0001
